icd9,ICD9 String,phecode,phenotype,Excl. Phecodes,Excl. Phenotypes,Rollup,Leaf,Ignore Bool
035,Erysipelas,686,Other local infections of skin and subcutaneous tissue,680-686.99, Skin and subcutaneous tissue infections,1,0,0
0360,Meningococcal meningitis,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0362,Meningococcemia,038,Septicemia,010-041.99, bacterial infection,1,1,0
03641,Meningococcal pericarditis,420,Carditis,420-425.99, Other peri-; endo-; and myocarditis,1,1,0
0380,Streptococcal septicemia,038,Septicemia,010-041.99, bacterial infection,1,1,0
03810,"Staphylococcal septicemia, unspecified",038,Septicemia,010-041.99, bacterial infection,1,1,0
03811,Methicillin susceptible Staphylococcus aureus septicemia,038,Septicemia,010-041.99, bacterial infection,1,1,0
03812,Methicillin resistant Staphylococcus aureus septicemia,038,Septicemia,010-041.99, bacterial infection,1,1,0
03819,Other staphylococcal septicemia,038,Septicemia,010-041.99, bacterial infection,1,1,0
0382,Pneumococcal septicemia,038,Septicemia,010-041.99, bacterial infection,1,1,0
0383,Anaerobic septicemia,038,Septicemia,010-041.99, bacterial infection,1,0,0
03840,"Septicemia due to gram-negative organism, unspecified",038,Septicemia,010-041.99, bacterial infection,1,1,0
03841,Septicemia due to hemophilus influenzae [H. influenzae],038,Septicemia,010-041.99, bacterial infection,1,1,0
03842,Septicemia due to escherichia coli [E. coli],038,Septicemia,010-041.99, bacterial infection,1,1,0
03843,Septicemia due to pseudomonas,038,Septicemia,010-041.99, bacterial infection,1,1,0
03844,Septicemia due to serratia,038,Septicemia,010-041.99, bacterial infection,1,1,0
03849,Other septicemia due to gram-negative organisms,038,Septicemia,010-041.99, bacterial infection,1,1,0
0388,Other specified septicemias,038,Septicemia,010-041.99, bacterial infection,1,0,0
0389,Septicemia NOS,038,Septicemia,010-041.99, bacterial infection,1,0,0
0391,Pulmonary actinomycosis,480,Pneumonia,480-488.99, Pneumonia and influenza,1,1,0
0392,Abdominal actinomycosis,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0398,Actinomycotic infection of other specified sites,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0400,Gas gangrene,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04082,Toxic shock syndrome,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04089,Other specified bacterial diseases,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04100,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04101,Group A Streptococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04102,Group B Streptococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04103,Group C Streptococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04104,Group D Streptococcus [Enterococcus] infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04105,Group G Streptococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04109,Other Streptococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04110,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04111,Methicillin susceptible Staphylococcus aureus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04112,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04119,Other Staphylococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
0412,Pneumococcus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0413,Friedlander's bacillus infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0414,Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04149,Other and unspecified Escherichia coli [E. coli],041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
0415,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0416,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0417,Pseudomonas infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04182,Bacteroides fragilis infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04183,Clostridium perfringens infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04184,Other anaerobe infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04185,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
04186,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,1,0
04189,Other specified bacterial infection in conditions classified elsewhere and of unspecified site,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0419,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
042,Human immunodeficiency virus [HIV] disease,071,Human immunodeficiency virus [HIV] disease,050-079.99, Viral infection,1,1,0
04590,"Acute poliomyelitis, unspecified, poliovirus, unspecified type",324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0463,Progressive multifocal leukoencephalopathy,324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
04671,Gerstmann-Straussler-Scheinker syndrome,324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0470,Meningitis due to coxsackie virus,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0478,Other specified viral meningitis,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0479,Viral meningitis NOS,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
048,Other enterovirus diseases of central nervous system,324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0490,Non-arthropod-borne lymphocytic choriomeningitis,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0491,Non-arthropod-borne meningitis due to adenovirus,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0498,Other specified non-arthropod-borne viral diseases of central nervous system,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0499,Unspecified non-arthropod-borne viral diseases of central nervous system,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0520,Postvaricella encephalitis,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
0521,Varicella (hemorrhagic) pneumonitis,480,Pneumonia,480-488.99, Pneumonia and influenza,1,1,0
0527,Chickenpox with other specified complications,079,Viral infection,050-079.99, Viral infection,1,1,0
0529,Varicella uncomplicated,079,Viral infection,050-079.99, Viral infection,1,1,0
0530,Herpes zoster with meningitis,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
05311,Geniculate herpes zoster,053,Herpes zoster,050-079.99, Viral infection,1,1,0
05312,Postherpetic trigeminal neuralgia,053,Herpes zoster,050-079.99, Viral infection,1,1,0
05313,Postherpetic polyneuropathy,053,Herpes zoster,050-079.99, Viral infection,1,1,0
05314,Herpes zoster myelitis,053,Herpes zoster,050-079.99, Viral infection,1,1,0
05319,Herpes zoster with other nervous system complications,053,Herpes zoster,050-079.99, Viral infection,1,1,0
05320,Herpes zoster dermatitis of eyelid,369,Infection of the eye,369-374.99, infection/inflammation of eye,1,1,0
05329,Herpes zoster with other ophthalmic complications,369,Infection of the eye,369-374.99, infection/inflammation of eye,1,1,0
05371,Otitis externa due to herpes zoster,053,Herpes zoster,050-079.99, Viral infection,1,0,0
05379,Herpes zoster with other specified complications,053,Herpes zoster,050-079.99, Viral infection,1,0,0
0539,Herpes zoster without mention of complication,053,Herpes zoster,050-079.99, Viral infection,1,0,0
0540,Eczema herpeticum,054,Herpes simplex,050-079.99, Viral infection,1,0,0
05410,Genital herpes NOS,054,Herpes simplex,050-079.99, Viral infection,1,0,0
05412,Herpetic ulceration of vulva,054,Herpes simplex,050-079.99, Viral infection,1,0,0
05413,Herpetic infection of penis,054,Herpes simplex,050-079.99, Viral infection,1,0,0
05419,Other genital herpes,054,Herpes simplex,050-079.99, Viral infection,1,0,0
0542,Herpetic gingivostomatitis,054,Herpes simplex,050-079.99, Viral infection,1,0,0
0543,Herpetic meningoencephalitis,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
05440,Herpes simplex with unspecified ophthalmic complication,369,Infection of the eye,369-374.99, infection/inflammation of eye,1,1,0
05443,Herpes simplex disciform keratitis,369,Infection of the eye,369-374.99, infection/inflammation of eye,1,1,0
0545,Herpetic septicemia,038,Septicemia,010-041.99, bacterial infection,1,0,0
05471,Herpes simplex visceral,054,Herpes simplex,050-079.99, Viral infection,1,0,0
05472,Herpes simplex meningitis,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
05479,Herpes simplex with other specified complications,054,Herpes simplex,050-079.99, Viral infection,1,0,0
0549,Herpes simplex without mention of complication,054,Herpes simplex,050-079.99, Viral infection,1,0,0
0578,Other specified viral exanthemata,079,Viral infection,050-079.99, Viral infection,1,0,0
0579,Viral exanthemata NOS,079,Viral infection,050-079.99, Viral infection,1,0,0
05821,Human herpesvirus 6 encephalitis,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
05829,Other human herpesvirus encephalitis,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
05881,Human herpesvirus 6 infection,054,Herpes simplex,050-079.99, Viral infection,1,0,0
05889,Other human herpesvirus infection,054,Herpes simplex,050-079.99, Viral infection,1,0,0
0622,Eastern equine encephalitis,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,1,0,0
06641,West Nile Fever with encephalitis,079,Viral infection,050-079.99, Viral infection,1,0,0
06642,West Nile Fever with other neurologic manifestation,079,Viral infection,050-079.99, Viral infection,1,0,0
0700,Viral hepatitis A with hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
0701,Viral hepatitis A without mention of hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07020,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta",070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07022,"Viral hepatitis B with hepatic coma, chronic, without mention of hepatitis delta",070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07030,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07031,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta",070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07032,"Viral hepatitis B without mention of hepatic coma, chronic, without mention of hepatitis delta",070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07033,"Viral hepatitis B without mention of hepatic coma, chronic, with hepatitis delta",070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07041,Acute hepatitis C with hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07044,Chronic hepatitis C with hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07049,Other specified viral hepatitis with hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,0,0
07051,Acute hepatitis C without mention of hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07052,Hepatitis delta without mention of active hepatitis B disease or hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,0,0
07053,Hepatitis E without mention of hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,0,0
07054,Chronic hepatitis C without mention of hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07059,Other specified viral hepatitis without mention of hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,0,0
07070,Unspecified viral hepatitis C without hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
07071,Unspecified viral hepatitis C with hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,1,0
0709,Unspecified viral hepatitis without mention of hepatic coma,070,Viral hepatitis,050-079.99, Viral infection,1,0,0
075,Infectious mononucleosis,079,Viral infection,050-079.99, Viral infection,1,1,0
0778,Other viral conjunctivitis,369,Infection of the eye,369-374.99, infection/inflammation of eye,1,1,0
07799,Unspecified diseases of conjunctiva due to viruses,369,Infection of the eye,369-374.99, infection/inflammation of eye,1,1,0
0780,Molluscum contagiosum,079,Viral infection,050-079.99, Viral infection,1,0,0
07810,"Viral warts, unspecified",078,Viral warts & HPV,050-079.99, Viral infection,1,0,0
07811,Condyloma acuminatum,078,Viral warts & HPV,050-079.99, Viral infection,1,0,0
07819,Other specified viral warts,078,Viral warts & HPV,050-079.99, Viral infection,1,0,0
0785,Cytomegaloviral disease,079,Viral infection,050-079.99, Viral infection,1,0,0
07889,Other specified diseases due to viruses and Chlamydiae,079,Viral infection,050-079.99, Viral infection,1,0,0
0790,Adenovirus infection in conditions classified elsewhere and of unspecified site,079,Viral infection,050-079.99, Viral infection,1,0,0
0793,Rhinovirus infection in conditions classified elsewhere and of unspecified site,079,Viral infection,050-079.99, Viral infection,1,0,0
0794,Human papillomavirus infection in conditions classified elsewhere and of unspecified site,078,Viral warts & HPV,050-079.99, Viral infection,1,0,0
07951,"Human T-cell lymphotrophic virus, type I [HTLV-I] infection in conditions classified elsewhere and of unspecified site",079,Viral infection,050-079.99, Viral infection,1,0,0
07953,"Human immunodeficiency virus, type 2 [HIV-2] infection in conditions classified elsewhere and of unspecified site",071,Human immunodeficiency virus [HIV] disease,050-079.99, Viral infection,1,0,0
0796,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,079,Viral infection,050-079.99, Viral infection,1,0,0
07983,Parvovirus B19,079,Viral infection,050-079.99, Viral infection,1,0,0
07989,Other specified viral infection in conditions classified elsewhere and of unspecified site,079,Viral infection,050-079.99, Viral infection,1,0,0
07998,Unspecified chlamydial infection in conditions classified elsewhere and of unspecified site,079,Viral infection,050-079.99, Viral infection,1,0,0
07999,Unspecified viral infection in conditions classified elsewhere and of unspecified site,079,Viral infection,050-079.99, Viral infection,1,0,0
08240,"Ehrlichiosis, unspecified",136,Other infectious and parasitic diseases,130-136.99, Other infections; including parasitic,1,0,0
08249,Other ehrlichiosis,136,Other infectious and parasitic diseases,130-136.99, Other infections; including parasitic,1,0,0
0839,Rickettsiosis NOS,136,Other infectious and parasitic diseases,130-136.99, Other infections; including parasitic,1,0,0
0840,Falciparum malaria [malignant tertian],133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
0844,Other malaria,133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
0846,Malaria NOS,133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
0849,Other pernicious complications of malaria,133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
0859,Leishmaniasis NOS,133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
0860,Chagas' disease with heart involvement,133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
0880,Bartonellosis,133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
08881,Lyme disease,130,Spirochetal infection,130-136.99, Other infections; including parasitic,1,1,0
08882,Babesiosis,133,Arthropod-borne diseases,130-136.99, Other infections; including parasitic,1,0,0
0902,"Early congenital syphilis, unspecified",090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0912,Other primary syphilis,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
09152,Syphilitic iridocyclitis (secondary),090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
09181,Acute syphilitic meningitis (secondary),090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0919,Secondary syphilis NOS,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0931,Syphilitic aortitis,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0940,Tabes dorsalis,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0949,Neurosyphilis NOS,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
096,Late syphilis latent,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0970,Late syphilis NOS,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0971,Latent syphilis NOS,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0979,Syphilis NOS,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,0,0
0980,Gonococcal infection (acute) of lower genitourinary tract,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99, Sexually transmitted infections (not hiv or hepatitis),1,1,0
0993,Reiter's disease,711,Arthropathy associated with infections,710-716.99,Arthropathies,1,1,0
1100,Dermatophytosis of scalp and beard,110,Dermatophytosis / Dermatomycosis,110-118.99, Mycoses,1,1,0
1101,Dermatophytosis of nail,110,Dermatophytosis / Dermatomycosis,110-118.99, Mycoses,1,1,0
1103,Dermatophytosis of groin and perianal area,110,Dermatophytosis / Dermatomycosis,110-118.99, Mycoses,1,1,0
1104,Dermatophytosis of foot,110,Dermatophytosis / Dermatomycosis,110-118.99, Mycoses,1,1,0
