icd9,phecode,phenotype
03840,038,Septicemia
03841,038,Septicemia
03841,038,Septicemia
03842,038,Septicemia
03842,038,Septicemia
03843,038,Septicemia
03843,038,Septicemia
03844,038,Septicemia
03844,038,Septicemia
03849,038,Septicemia
03849,038,Septicemia
0388,038,Septicemia
0389,038,Septicemia
0391,480,Pneumonia
0391,480,Pneumonia
0392,041,Bacterial infection NOS
0398,041,Bacterial infection NOS
0400,041,Bacterial infection NOS
04082,041,Bacterial infection NOS
04089,041,Bacterial infection NOS
04100,041,Bacterial infection NOS
04100,041,Bacterial infection NOS
04101,041,Bacterial infection NOS
04101,041,Bacterial infection NOS
04102,041,Bacterial infection NOS
04102,041,Bacterial infection NOS
04103,041,Bacterial infection NOS
04103,041,Bacterial infection NOS
04104,041,Bacterial infection NOS
04104,041,Bacterial infection NOS
04105,041,Bacterial infection NOS
04105,041,Bacterial infection NOS
04109,041,Bacterial infection NOS
04109,041,Bacterial infection NOS
04110,041,Bacterial infection NOS
04110,041,Bacterial infection NOS
04111,041,Bacterial infection NOS
04111,041,Bacterial infection NOS
04111,041,Bacterial infection NOS
04112,041,Bacterial infection NOS
04112,041,Bacterial infection NOS
04112,041,Bacterial infection NOS
04119,041,Bacterial infection NOS
04119,041,Bacterial infection NOS
0412,041,Bacterial infection NOS
0413,041,Bacterial infection NOS
0414,041,Bacterial infection NOS
0414,041,Bacterial infection NOS
04149,041,Bacterial infection NOS
04149,041,Bacterial infection NOS
0415,041,Bacterial infection NOS
0416,041,Bacterial infection NOS
0417,041,Bacterial infection NOS
04182,041,Bacterial infection NOS
04183,041,Bacterial infection NOS
04184,041,Bacterial infection NOS
04185,041,Bacterial infection NOS
04186,041,Bacterial infection NOS
04186,041,Bacterial infection NOS
04189,041,Bacterial infection NOS
0419,041,Bacterial infection NOS
042,071,Human immunodeficiency virus [HIV] disease
042,071,Human immunodeficiency virus [HIV] disease
04590,324,Other CNS infection and poliomyelitis
0463,324,Other CNS infection and poliomyelitis
04671,324,Other CNS infection and poliomyelitis
0470,320,Meningitis
0478,320,Meningitis
0479,320,Meningitis
048,324,Other CNS infection and poliomyelitis
0490,320,Meningitis
0491,320,Meningitis
0498,323,Encephalitis
0499,323,Encephalitis
0520,323,Encephalitis
0521,480,Pneumonia
0521,480,Pneumonia
0527,079,Viral infection
0527,079,Viral infection
0529,079,Viral infection
0529,079,Viral infection
0530,320,Meningitis
05311,053,Herpes zoster
05311,053,Herpes zoster
05312,053,Herpes zoster
05312,053,Herpes zoster
05313,053,Herpes zoster
05313,053,Herpes zoster
05314,053,Herpes zoster
05314,053,Herpes zoster
05319,053,Herpes zoster
05319,053,Herpes zoster
05320,369,Infection of the eye
05320,369,Infection of the eye
05329,369,Infection of the eye
05329,369,Infection of the eye
05371,053,Herpes zoster
05379,053,Herpes zoster
0539,053,Herpes zoster
0540,054,Herpes simplex
05410,054,Herpes simplex
05412,054,Herpes simplex
05413,054,Herpes simplex
05419,054,Herpes simplex
0542,054,Herpes simplex
0543,323,Encephalitis
05440,369,Infection of the eye
05440,369,Infection of the eye
05443,369,Infection of the eye
05443,369,Infection of the eye
0545,038,Septicemia
05471,054,Herpes simplex
05472,320,Meningitis
05479,054,Herpes simplex
0549,054,Herpes simplex
0578,079,Viral infection
0579,079,Viral infection
05821,323,Encephalitis
05829,323,Encephalitis
05881,054,Herpes simplex
05889,054,Herpes simplex
0622,323,Encephalitis
06641,079,Viral infection
06642,079,Viral infection
0700,070,Viral hepatitis
0700,070,Viral hepatitis
0701,070,Viral hepatitis
0701,070,Viral hepatitis
07020,070,Viral hepatitis
07020,070,Viral hepatitis
07022,070,Viral hepatitis
07022,070,Viral hepatitis
07030,070,Viral hepatitis
07030,070,Viral hepatitis
07031,070,Viral hepatitis
07031,070,Viral hepatitis
07032,070,Viral hepatitis
07032,070,Viral hepatitis
07033,070,Viral hepatitis
07033,070,Viral hepatitis
07041,070,Viral hepatitis
07041,070,Viral hepatitis
07044,070,Viral hepatitis
07044,070,Viral hepatitis
07049,070,Viral hepatitis
07051,070,Viral hepatitis
07051,070,Viral hepatitis
07052,070,Viral hepatitis
07053,070,Viral hepatitis
07054,070,Viral hepatitis
07054,070,Viral hepatitis
07059,070,Viral hepatitis
07070,070,Viral hepatitis
07070,070,Viral hepatitis
07071,070,Viral hepatitis
07071,070,Viral hepatitis
0709,070,Viral hepatitis
075,079,Viral infection
075,079,Viral infection
0778,369,Infection of the eye
0778,369,Infection of the eye
07799,369,Infection of the eye
07799,369,Infection of the eye
0780,079,Viral infection
07810,078,Viral warts & HPV
07811,078,Viral warts & HPV
07819,078,Viral warts & HPV
0785,079,Viral infection
07889,079,Viral infection
0790,079,Viral infection
0793,079,Viral infection
0794,078,Viral warts & HPV
07951,079,Viral infection
07953,071,Human immunodeficiency virus [HIV] disease
0796,079,Viral infection
07983,079,Viral infection
07989,079,Viral infection
07998,079,Viral infection
07999,079,Viral infection
08240,136,Other infectious and parasitic diseases
08249,136,Other infectious and parasitic diseases
0839,136,Other infectious and parasitic diseases
0840,133,Arthropod-borne diseases
0844,133,Arthropod-borne diseases
0846,133,Arthropod-borne diseases
0849,133,Arthropod-borne diseases
0859,133,Arthropod-borne diseases
0860,133,Arthropod-borne diseases
0880,133,Arthropod-borne diseases
08881,130,Spirochetal infection
08881,130,Spirochetal infection
08882,133,Arthropod-borne diseases
0902,090,Sexually transmitted infections (not HIV or hepatitis)
0912,090,Sexually transmitted infections (not HIV or hepatitis)
09152,090,Sexually transmitted infections (not HIV or hepatitis)
09181,090,Sexually transmitted infections (not HIV or hepatitis)
0919,090,Sexually transmitted infections (not HIV or hepatitis)
0931,090,Sexually transmitted infections (not HIV or hepatitis)
0940,090,Sexually transmitted infections (not HIV or hepatitis)
0949,090,Sexually transmitted infections (not HIV or hepatitis)
096,090,Sexually transmitted infections (not HIV or hepatitis)
0970,090,Sexually transmitted infections (not HIV or hepatitis)
0971,090,Sexually transmitted infections (not HIV or hepatitis)
0979,090,Sexually transmitted infections (not HIV or hepatitis)
0980,090,Sexually transmitted infections (not HIV or hepatitis)
0980,090,Sexually transmitted infections (not HIV or hepatitis)
0993,711,Arthropathy associated with infections
0993,711,Arthropathy associated with infections
1100,110,Dermatophytosis / Dermatomycosis
1100,110,Dermatophytosis / Dermatomycosis
1101,110,Dermatophytosis / Dermatomycosis
1101,110,Dermatophytosis / Dermatomycosis
1101,110,Dermatophytosis / Dermatomycosis
1103,110,Dermatophytosis / Dermatomycosis
1103,110,Dermatophytosis / Dermatomycosis
1103,110,Dermatophytosis / Dermatomycosis
1104,110,Dermatophytosis / Dermatomycosis
1104,110,Dermatophytosis / Dermatomycosis
1104,110,Dermatophytosis / Dermatomycosis
1105,110,Dermatophytosis / Dermatomycosis
1105,110,Dermatophytosis / Dermatomycosis
1105,110,Dermatophytosis / Dermatomycosis
1106,110,Dermatophytosis / Dermatomycosis
1106,110,Dermatophytosis / Dermatomycosis
1108,110,Dermatophytosis / Dermatomycosis
1108,110,Dermatophytosis / Dermatomycosis
1109,110,Dermatophytosis / Dermatomycosis
1109,110,Dermatophytosis / Dermatomycosis
1110,110,Dermatophytosis / Dermatomycosis
1110,110,Dermatophytosis / Dermatomycosis
1118,110,Dermatophytosis / Dermatomycosis
1118,110,Dermatophytosis / Dermatomycosis
1119,110,Dermatophytosis / Dermatomycosis
1119,110,Dermatophytosis / Dermatomycosis
1120,112,Candidiasis
1121,112,Candidiasis
1122,112,Candidiasis
1123,112,Candidiasis
1123,112,Candidiasis
1124,480,Pneumonia
1124,480,Pneumonia
1125,112,Candidiasis
11281,420,Carditis
11281,420,Carditis
11283,320,Meningitis
11284,112,Candidiasis
11285,112,Candidiasis
11289,112,Candidiasis
1129,112,Candidiasis
1140,480,Pneumonia
1140,480,Pneumonia
1149,117,Mycoses
1149,117,Mycoses
11505,117,Mycoses
11505,117,Mycoses
11519,117,Mycoses
11519,117,Mycoses
11590,117,Mycoses
11590,117,Mycoses
11599,117,Mycoses
11599,117,Mycoses
1160,117,Mycoses
1160,117,Mycoses
1173,117,Mycoses
1173,117,Mycoses
1174,117,Mycoses
1175,117,Mycoses
1177,117,Mycoses
1179,117,Mycoses
118,117,Mycoses
1208,134,Helminthiases
1209,134,Helminthiases
1211,134,Helminthiases
1228,134,Helminthiases
1228,134,Helminthiases
1231,134,Helminthiases
1231,134,Helminthiases
1251,134,Helminthiases
1270,134,Helminthiases
1270,134,Helminthiases
1272,134,Helminthiases
1272,134,Helminthiases
1273,134,Helminthiases
1273,134,Helminthiases
1300,323,Encephalitis
1307,131,Protozoan infection
1308,131,Protozoan infection
1309,131,Protozoan infection
13101,131,Protozoan infection
13102,131,Protozoan infection
13109,131,Protozoan infection
1320,132,"Infestation (lice, mites)"
1320,132,"Infestation (lice, mites)"
1329,132,"Infestation (lice, mites)"
1329,132,"Infestation (lice, mites)"
1330,132,"Infestation (lice, mites)"
1348,132,"Infestation (lice, mites)"
135,697,Sarcoidosis
1361,711,Arthropathy associated with infections
1361,711,Arthropathy associated with infections
1363,480,Pneumonia
1363,480,Pneumonia
1369,136,Other infectious and parasitic diseases
1370,010,Tuberculosis
1373,010,Tuberculosis
138,324,Other CNS infection and poliomyelitis
1390,323,Encephalitis
1398,136,Other infectious and parasitic diseases
1400,145,Cancer of mouth
1400,145,Cancer of mouth
1401,145,Cancer of mouth
1401,145,Cancer of mouth
1409,145,Cancer of mouth
1409,145,Cancer of mouth
1410,145,Cancer of mouth
1410,145,Cancer of mouth
1414,145,Cancer of mouth
1414,145,Cancer of mouth
1418,145,Cancer of mouth
1418,145,Cancer of mouth
1419,145,Cancer of mouth
1419,145,Cancer of mouth
1420,145,Cancer of mouth
1420,145,Cancer of mouth
1429,145,Cancer of mouth
1429,145,Cancer of mouth
1430,145,Cancer of mouth
1430,145,Cancer of mouth
1431,145,Cancer of mouth
1431,145,Cancer of mouth
1439,145,Cancer of mouth
1439,145,Cancer of mouth
1440,145,Cancer of mouth
1440,145,Cancer of mouth
1448,145,Cancer of mouth
1448,145,Cancer of mouth
1449,145,Cancer of mouth
1449,145,Cancer of mouth
1450,145,Cancer of mouth
1452,145,Cancer of mouth
1453,145,Cancer of mouth
1455,145,Cancer of mouth
1458,145,Cancer of mouth
1460,149,"Cancer of larynx, pharynx, nasal cavities"
1460,149,"Cancer of larynx, pharynx, nasal cavities"
1461,149,"Cancer of larynx, pharynx, nasal cavities"
1461,149,"Cancer of larynx, pharynx, nasal cavities"
1463,149,"Cancer of larynx, pharynx, nasal cavities"
1463,149,"Cancer of larynx, pharynx, nasal cavities"
1464,149,"Cancer of larynx, pharynx, nasal cavities"
1464,149,"Cancer of larynx, pharynx, nasal cavities"
1467,149,"Cancer of larynx, pharynx, nasal cavities"
1467,149,"Cancer of larynx, pharynx, nasal cavities"
1468,149,"Cancer of larynx, pharynx, nasal cavities"
1468,149,"Cancer of larynx, pharynx, nasal cavities"
1469,149,"Cancer of larynx, pharynx, nasal cavities"
1469,149,"Cancer of larynx, pharynx, nasal cavities"
1471,149,"Cancer of larynx, pharynx, nasal cavities"
1471,149,"Cancer of larynx, pharynx, nasal cavities"
1478,149,"Cancer of larynx, pharynx, nasal cavities"
1478,149,"Cancer of larynx, pharynx, nasal cavities"
1479,149,"Cancer of larynx, pharynx, nasal cavities"
1479,149,"Cancer of larynx, pharynx, nasal cavities"
1481,149,"Cancer of larynx, pharynx, nasal cavities"
1481,149,"Cancer of larynx, pharynx, nasal cavities"
1488,149,"Cancer of larynx, pharynx, nasal cavities"
1488,149,"Cancer of larynx, pharynx, nasal cavities"
1489,149,"Cancer of larynx, pharynx, nasal cavities"
1489,149,"Cancer of larynx, pharynx, nasal cavities"
1490,149,"Cancer of larynx, pharynx, nasal cavities"
1498,149,"Cancer of larynx, pharynx, nasal cavities"
1500,150,Cancer of esophagus
1501,150,Cancer of esophagus
1503,150,Cancer of esophagus
1504,150,Cancer of esophagus
1505,150,Cancer of esophagus
1508,150,Cancer of esophagus
1509,150,Cancer of esophagus
1510,151,Cancer of stomach
1511,151,Cancer of stomach
1512,151,Cancer of stomach
1513,151,Cancer of stomach
1514,151,Cancer of stomach
1515,151,Cancer of stomach
1516,151,Cancer of stomach
1518,151,Cancer of stomach
1519,151,Cancer of stomach
1520,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1520,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1521,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1521,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1522,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1522,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1528,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1528,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1529,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1529,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1530,153,Colorectal cancer
1530,153,Colorectal cancer
1531,153,Colorectal cancer
1531,153,Colorectal cancer
1532,153,Colorectal cancer
1532,153,Colorectal cancer
1533,153,Colorectal cancer
1533,153,Colorectal cancer
1534,153,Colorectal cancer
1534,153,Colorectal cancer
1535,153,Colorectal cancer
1535,153,Colorectal cancer
1536,153,Colorectal cancer
1536,153,Colorectal cancer
1537,153,Colorectal cancer
1537,153,Colorectal cancer
1538,153,Colorectal cancer
1538,153,Colorectal cancer
1539,153,Colorectal cancer
1539,153,Colorectal cancer
1540,153,Colorectal cancer
1540,153,Colorectal cancer
1541,153,Colorectal cancer
1541,153,Colorectal cancer
1542,153,Colorectal cancer
1542,153,Colorectal cancer
1543,153,Colorectal cancer
1543,153,Colorectal cancer
1548,153,Colorectal cancer
1550,155,Cancer of liver and intrahepatic bile duct
1550,155,Cancer of liver and intrahepatic bile duct
1551,155,Cancer of liver and intrahepatic bile duct
1552,155,Cancer of liver and intrahepatic bile duct
1560,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1560,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1561,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1561,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1562,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1562,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1568,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1568,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1569,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1569,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1570,157,Pancreatic cancer
1571,157,Pancreatic cancer
1572,157,Pancreatic cancer
1573,157,Pancreatic cancer
1574,157,Pancreatic cancer
1578,157,Pancreatic cancer
1579,157,Pancreatic cancer
1580,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1580,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1588,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1588,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1589,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1589,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1598,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1599,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
1602,149,"Cancer of larynx, pharynx, nasal cavities"
1602,149,"Cancer of larynx, pharynx, nasal cavities"
1603,149,"Cancer of larynx, pharynx, nasal cavities"
1603,149,"Cancer of larynx, pharynx, nasal cavities"
1608,149,"Cancer of larynx, pharynx, nasal cavities"
1608,149,"Cancer of larynx, pharynx, nasal cavities"
1609,149,"Cancer of larynx, pharynx, nasal cavities"
1609,149,"Cancer of larynx, pharynx, nasal cavities"
1610,149,"Cancer of larynx, pharynx, nasal cavities"
1610,149,"Cancer of larynx, pharynx, nasal cavities"
1611,149,"Cancer of larynx, pharynx, nasal cavities"
1611,149,"Cancer of larynx, pharynx, nasal cavities"
1612,149,"Cancer of larynx, pharynx, nasal cavities"
1612,149,"Cancer of larynx, pharynx, nasal cavities"
1613,149,"Cancer of larynx, pharynx, nasal cavities"
1613,149,"Cancer of larynx, pharynx, nasal cavities"
1618,149,"Cancer of larynx, pharynx, nasal cavities"
1618,149,"Cancer of larynx, pharynx, nasal cavities"
1619,149,"Cancer of larynx, pharynx, nasal cavities"
1619,149,"Cancer of larynx, pharynx, nasal cavities"
1620,165,Cancer within the respiratory system
1620,165,Cancer within the respiratory system
1622,165,Cancer within the respiratory system
1622,165,Cancer within the respiratory system
1623,165,Cancer within the respiratory system
1623,165,Cancer within the respiratory system
1624,165,Cancer within the respiratory system
1624,165,Cancer within the respiratory system
1625,165,Cancer within the respiratory system
1625,165,Cancer within the respiratory system
1628,165,Cancer within the respiratory system
1628,165,Cancer within the respiratory system
1629,165,Cancer within the respiratory system
1629,165,Cancer within the respiratory system
1630,165,Cancer within the respiratory system
1638,165,Cancer within the respiratory system
1639,165,Cancer within the respiratory system
1640,164,Cancer of intrathoracic organs
1641,164,Cancer of intrathoracic organs
1642,164,Cancer of intrathoracic organs
1643,164,Cancer of intrathoracic organs
1648,164,Cancer of intrathoracic organs
1649,164,Cancer of intrathoracic organs
1700,170,Cancer of bone and connective tissue
1700,170,Cancer of bone and connective tissue
1702,170,Cancer of bone and connective tissue
1702,170,Cancer of bone and connective tissue
1703,170,Cancer of bone and connective tissue
1703,170,Cancer of bone and connective tissue
1707,170,Cancer of bone and connective tissue
1707,170,Cancer of bone and connective tissue
1710,170,Cancer of bone and connective tissue
1710,170,Cancer of bone and connective tissue
1712,170,Cancer of bone and connective tissue
1712,170,Cancer of bone and connective tissue
1713,170,Cancer of bone and connective tissue
1713,170,Cancer of bone and connective tissue
1714,170,Cancer of bone and connective tissue
1714,170,Cancer of bone and connective tissue
1715,170,Cancer of bone and connective tissue
1715,170,Cancer of bone and connective tissue
1716,170,Cancer of bone and connective tissue
1716,170,Cancer of bone and connective tissue
1717,170,Cancer of bone and connective tissue
1717,170,Cancer of bone and connective tissue
1718,170,Cancer of bone and connective tissue
1718,170,Cancer of bone and connective tissue
1720,172,Skin cancer
1720,172,Skin cancer
1720,172,Skin cancer
1723,172,Skin cancer
1723,172,Skin cancer
1723,172,Skin cancer
1724,172,Skin cancer
1724,172,Skin cancer
1724,172,Skin cancer
1725,172,Skin cancer
1725,172,Skin cancer
1725,172,Skin cancer
1726,172,Skin cancer
1726,172,Skin cancer
1726,172,Skin cancer
1727,172,Skin cancer
1727,172,Skin cancer
1727,172,Skin cancer
1728,172,Skin cancer
1728,172,Skin cancer
1728,172,Skin cancer
1729,172,Skin cancer
1729,172,Skin cancer
1729,172,Skin cancer
1730,172,Skin cancer
1730,172,Skin cancer
1731,172,Skin cancer
1731,172,Skin cancer
1732,172,Skin cancer
1732,172,Skin cancer
17322,172,Skin cancer
17322,172,Skin cancer
17322,172,Skin cancer
1733,172,Skin cancer
1733,172,Skin cancer
17331,172,Skin cancer
17331,172,Skin cancer
17331,172,Skin cancer
17332,172,Skin cancer
17332,172,Skin cancer
17332,172,Skin cancer
1734,172,Skin cancer
1734,172,Skin cancer
17341,172,Skin cancer
17341,172,Skin cancer
17341,172,Skin cancer
17342,172,Skin cancer
17342,172,Skin cancer
17342,172,Skin cancer
1735,172,Skin cancer
1735,172,Skin cancer
1736,172,Skin cancer
1736,172,Skin cancer
1737,172,Skin cancer
1737,172,Skin cancer
17372,172,Skin cancer
17372,172,Skin cancer
17372,172,Skin cancer
1738,172,Skin cancer
1738,172,Skin cancer
1739,172,Skin cancer
1739,172,Skin cancer
1743,174,Breast cancer
1743,174,Breast cancer
1743,174,Breast cancer
1744,174,Breast cancer
1744,174,Breast cancer
1744,174,Breast cancer
1745,174,Breast cancer
1745,174,Breast cancer
1745,174,Breast cancer
1748,174,Breast cancer
1748,174,Breast cancer
1748,174,Breast cancer
1749,174,Breast cancer
1749,174,Breast cancer
1749,174,Breast cancer
1759,174,Breast cancer
1759,174,Breast cancer
1760,230,Kaposi's sarcoma
1761,230,Kaposi's sarcoma
1763,230,Kaposi's sarcoma
1764,230,Kaposi's sarcoma
1765,230,Kaposi's sarcoma
1768,230,Kaposi's sarcoma
1769,230,Kaposi's sarcoma
179,182,Malignant neoplasm of uterus
1800,180,Cervical cancer and dysplasia
1800,180,Cervical cancer and dysplasia
1808,180,Cervical cancer and dysplasia
1808,180,Cervical cancer and dysplasia
1809,180,Cervical cancer and dysplasia
1809,180,Cervical cancer and dysplasia
1820,182,Malignant neoplasm of uterus
1830,184,Cancer of other female genital organs
1830,184,Cancer of other female genital organs
1830,184,Cancer of other female genital organs
1832,184,Cancer of other female genital organs
1832,184,Cancer of other female genital organs
1838,184,Cancer of other female genital organs
1838,184,Cancer of other female genital organs
1840,184,Cancer of other female genital organs
1840,184,Cancer of other female genital organs
1844,184,Cancer of other female genital organs
1844,184,Cancer of other female genital organs
1848,184,Cancer of other female genital organs
1848,184,Cancer of other female genital organs
185,185,Cancer of prostate
1869,187,Cancer of other male genital organs
1869,187,Cancer of other male genital organs
1874,187,Cancer of other male genital organs
1874,187,Cancer of other male genital organs
1880,189,Cancer of urinary organs (incl. kidney and bladder)
1880,189,Cancer of urinary organs (incl. kidney and bladder)
1880,189,Cancer of urinary organs (incl. kidney and bladder)
1881,189,Cancer of urinary organs (incl. kidney and bladder)
1881,189,Cancer of urinary organs (incl. kidney and bladder)
1881,189,Cancer of urinary organs (incl. kidney and bladder)
1882,189,Cancer of urinary organs (incl. kidney and bladder)
1882,189,Cancer of urinary organs (incl. kidney and bladder)
1882,189,Cancer of urinary organs (incl. kidney and bladder)
1883,189,Cancer of urinary organs (incl. kidney and bladder)
1883,189,Cancer of urinary organs (incl. kidney and bladder)
1883,189,Cancer of urinary organs (incl. kidney and bladder)
1884,189,Cancer of urinary organs (incl. kidney and bladder)
1884,189,Cancer of urinary organs (incl. kidney and bladder)
1884,189,Cancer of urinary organs (incl. kidney and bladder)
1885,189,Cancer of urinary organs (incl. kidney and bladder)
1885,189,Cancer of urinary organs (incl. kidney and bladder)
1885,189,Cancer of urinary organs (incl. kidney and bladder)
1888,189,Cancer of urinary organs (incl. kidney and bladder)
1888,189,Cancer of urinary organs (incl. kidney and bladder)
1888,189,Cancer of urinary organs (incl. kidney and bladder)
1889,189,Cancer of urinary organs (incl. kidney and bladder)
1889,189,Cancer of urinary organs (incl. kidney and bladder)
1889,189,Cancer of urinary organs (incl. kidney and bladder)
1890,189,Cancer of urinary organs (incl. kidney and bladder)
1890,189,Cancer of urinary organs (incl. kidney and bladder)
1890,189,Cancer of urinary organs (incl. kidney and bladder)
1891,189,Cancer of urinary organs (incl. kidney and bladder)
1891,189,Cancer of urinary organs (incl. kidney and bladder)
1891,189,Cancer of urinary organs (incl. kidney and bladder)
1892,189,Cancer of urinary organs (incl. kidney and bladder)
1892,189,Cancer of urinary organs (incl. kidney and bladder)
1893,189,Cancer of urinary organs (incl. kidney and bladder)
1893,189,Cancer of urinary organs (incl. kidney and bladder)
1898,189,Cancer of urinary organs (incl. kidney and bladder)
1898,189,Cancer of urinary organs (incl. kidney and bladder)
1905,190,Cancer of eye
1906,190,Cancer of eye
1910,191,Manlignant and unknown neoplasms of brain and nervous system
1910,191,Manlignant and unknown neoplasms of brain and nervous system
1910,191,Manlignant and unknown neoplasms of brain and nervous system
1911,191,Manlignant and unknown neoplasms of brain and nervous system
1911,191,Manlignant and unknown neoplasms of brain and nervous system
1911,191,Manlignant and unknown neoplasms of brain and nervous system
1912,191,Manlignant and unknown neoplasms of brain and nervous system
1912,191,Manlignant and unknown neoplasms of brain and nervous system
1912,191,Manlignant and unknown neoplasms of brain and nervous system
1913,191,Manlignant and unknown neoplasms of brain and nervous system
1913,191,Manlignant and unknown neoplasms of brain and nervous system
1913,191,Manlignant and unknown neoplasms of brain and nervous system
1914,191,Manlignant and unknown neoplasms of brain and nervous system
1914,191,Manlignant and unknown neoplasms of brain and nervous system
1914,191,Manlignant and unknown neoplasms of brain and nervous system
1915,191,Manlignant and unknown neoplasms of brain and nervous system
1915,191,Manlignant and unknown neoplasms of brain and nervous system
1915,191,Manlignant and unknown neoplasms of brain and nervous system
1916,191,Manlignant and unknown neoplasms of brain and nervous system
1916,191,Manlignant and unknown neoplasms of brain and nervous system
1916,191,Manlignant and unknown neoplasms of brain and nervous system
